split,tier,method,metric,mean,median,standard_deviation,systems
truth90_validation,all,Linear,Dyn.rmsf_mae_angstrom,2.4996103888440087,0.6721150631599746,4.332361132215697,90
truth90_validation,all,NeuralMD,Dyn.rmsf_mae_angstrom,1.1160924272206503,0.7737136282033772,1.304694001775238,90
truth90_validation,all,QField-Dyn,Dyn.step_distribution_w1_angstrom,0.49152122647252694,0.2904206997811292,0.6683143072462014,90
truth90_validation,all,Linear,Dyn.step_distribution_w1_angstrom,0.805665958840448,0.6577779926379053,0.5987588372598158,90
truth90_validation,all,NeuralMD,Dyn.step_distribution_w1_angstrom,1.066037981466033,0.905205692602516,0.6859479025048092,90
truth90_validation,all,QField-Dyn,Dyn.true_mean_atom_rmsf_angstrom,1.2283274944904679,0.8426576475374274,1.3393937663994808,90
truth90_validation,all,Linear,Dyn.true_mean_atom_rmsf_angstrom,1.2283274944904679,0.8426576475374274,1.3393937663994808,90
truth90_validation,all,NeuralMD,Dyn.true_mean_atom_rmsf_angstrom,1.2283274944904679,0.8426576475374274,1.3393937663994808,90
truth90_validation,all,QField-Dyn,Geo.auc_angstrom_ps,7130.732766265783,2737.6617582622357,10312.322634313457,90
truth90_validation,all,Linear,Geo.auc_angstrom_ps,35347.81147297861,4492.781935028677,68424.09644397128,90
truth90_validation,all,NeuralMD,Geo.auc_angstrom_ps,6634.462137845487,1976.0039026235563,10748.173369934668,90
truth90_validation,all,QField-Dyn,Geo.coordinate_energy_score_angstrom,2.394635038681017,1.682430370721847,2.368131779217154,90
truth90_validation,all,Linear,Geo.coordinate_energy_score_angstrom,8.34360468021412,4.6812246283114,11.75979249855458,90
truth90_validation,all,NeuralMD,Geo.coordinate_energy_score_angstrom,2.086772884884492,1.3831057184649294,2.4195370485281202,90
truth90_validation,all,QField-Dyn,Geo.final_rmsd_angstrom,2.9874921894762156,1.7073930864316877,3.8624211104065704,90
truth90_validation,all,Linear,Geo.final_rmsd_angstrom,13.724297510849787,7.134668634592394,20.32203070212188,90
truth90_validation,all,NeuralMD,Geo.final_rmsd_angstrom,2.673704128880253,1.5410155529923988,3.852074530259487,90
truth90_validation,all,QField-Dyn,Geo.mean_rmsd_angstrom,2.2680520042483994,1.5959489882656128,2.1503488627843623,90
truth90_validation,all,Linear,Geo.mean_rmsd_angstrom,7.442765353355704,4.329717090045336,10.2592329831945,90
truth90_validation,all,NeuralMD,Geo.mean_rmsd_angstrom,1.971895111255266,1.309185073852777,2.2044870560257537,90
truth90_validation,all,QField-Dyn,Motion.centre_displacement_vector_mae_angstrom,1.6541254388897904,1.1121927223055392,1.9559579992115723,90
truth90_validation,all,Linear,Motion.centre_displacement_vector_mae_angstrom,5.247110785102917,2.4421834863830636,7.777154958956766,90
truth90_validation,all,QField-Dyn,Motion.relative_displacement_amplitude_mae_angstrom,1.0397621122088272,0.4611308628461682,1.8873314465041995,90
truth90_validation,all,Linear,Motion.relative_displacement_amplitude_mae_angstrom,5.144231593253519,1.825589912265893,8.685092937372037,90
truth90_validation,all,QField-Dyn,Phys.angle_mean_squared_excess,6.565234904487472e-05,2.2685149640378542e-07,0.00018737210547509485,90
truth90_validation,all,Linear,Phys.angle_mean_squared_excess,0.06494306556170942,0.022961804624528986,0.07050578574567215,90
truth90_validation,all,QField-Dyn,Phys.angle_violations,6.985000000000001,1.775,13.390639050672425,90
truth90_validation,all,Linear,Phys.angle_violations,34.89944444444444,24.725,34.173670837064385,90
truth90_validation,all,QField-Dyn,Phys.assessed_geometry_valid,0.31611111111111106,0.15,0.3675631702780068,90
truth90_validation,all,Linear,Phys.assessed_geometry_valid,0.009166666666666667,0.0,0.029556649093190144,90
truth90_validation,all,QField-Dyn,Phys.bond_mean_squared_excess,4.114084450414233e-06,8.374156069979725e-08,1.507428172396839e-05,90
truth90_validation,all,Linear,Phys.bond_mean_squared_excess,17.84046539935252,1.3086840556602333,36.53279972788069,90
truth90_validation,all,QField-Dyn,Phys.bond_violations,8.283888888888889,2.8125,14.281857653023414,90
truth90_validation,all,Linear,Phys.bond_violations,37.94222222222223,27.925,35.268798655891835,90
truth90_validation,all,QField-Dyn,Phys.ligand_environment_overlap_violations,0.1852777777777778,0.0,0.7460207587824431,90
